"missing_points","mean","max","min","Estimator","diff","par"
19,1.10143540327848,1.10353230954273,1.09863202964431,"LSE",0.00490027989842035,"R"
20,1.10139337682128,1.10356303398082,1.09734557708056,"LSE",0.00621745690025599,"R"
21,1.10182706700453,1.10371529302338,1.09934129174928,"LSE",0.00437400127409537,"R"
22,1.1013876116824,1.10337837894666,1.09748789980808,"LSE",0.00589047913858809,"R"
23,1.10165334295119,1.10349846190427,1.09792401879399,"LSE",0.00557444311027355,"R"
24,1.10169209049202,1.10332864582968,1.09858953365858,"LSE",0.00473911217110201,"R"
25,1.10170959788077,1.10408906414609,1.09693070479507,"LSE",0.00715835935102072,"R"
26,1.10157996146475,1.10418110241327,1.09899752273614,"LSE",0.00518357967712868,"R"
27,1.10133507506482,1.10410163373009,1.09684958941665,"LSE",0.00725204431343385,"R"
28,1.10151529245048,1.10385000384493,1.09861487034667,"LSE",0.00523513349825788,"R"
29,1.10158383053775,1.10394660360766,1.09754130498957,"LSE",0.00640529861809802,"R"
30,1.10162324268055,1.10401603210584,1.09825652894423,"LSE",0.00575950316160512,"R"
1,1.15061623053661,1.1520987097126,1.14685092743429,"MLE",0.00524778227831257,"R"
2,1.15077092220274,1.15254971592475,1.14655071075703,"MLE",0.00599900516772456,"R"
3,1.15063082969947,1.15249139571872,1.14659271228986,"MLE",0.00589868342886657,"R"
4,1.15072420409567,1.15380331847032,1.14691319875449,"MLE",0.00689011971583486,"R"
5,1.15153231475231,1.15689821418587,1.14694403770722,"MLE",0.0099541764786546,"R"
6,1.15134885101273,1.15481680132783,1.14267944324961,"MLE",0.0121373580782147,"R"
7,1.151494403725,1.15605745988255,1.14381085125764,"MLE",0.012246608624902,"R"
8,1.15145190184109,1.15510798223143,1.1452210245566,"MLE",0.00988695767482461,"R"
9,1.15054112584954,1.15662708116927,1.14195084958652,"MLE",0.0146762315827551,"R"
